Tên,Mô tả,Mức giá,Diện tích,Loại tin đăng,Địa chỉ,Mặt tiền,Đường vào,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Pháp lý,Tên dự án,Chủ đầu tư,Quy mô,Ngày đăng,Ngày hết hạn,Mã tin,Phòng ngủ,Hướng nhà,Loại tin,url,Tỉnh,Quận/Huyện
"Bán gấp căn hộ cao cấp Fortuna Kim Hồng, Quận Tân Phú, giá 2 tỷ 1","Bán gấp căn hộ cao cấp Fortuna Kim Hồng Quận Tân Phú, diện tích 75m2, 2PN, 2WC lầu cao view đẹp thoáng mát, nội thất cao cấp khu căn hộ có nhiều tiện ích xung quanh, giao thông thuận tiện giá bán 2 tỷ 1, sổ hồng LH 0945771427.",2100.0,75.0,Bán căn hộ chung cư,"Dự án Fortuna - Vườn Lài, Đường Vườn Lài, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",,,,-1,2,2,,Sổ hồng,Fortuna - Vườn Lài,Công ty TNHH Dịch vụ Thương mại  Kim Hồng,,06/11/2021,13/11/2021,31319048,2 PN,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-can-ho-chung-cu-duong-vuon-lai-phuong-phu-tho-hoa-prj-fortuna-vuon-lai/ban-gap-cao-cap-fourtuna-kim-ng-quan-tan-gia-2-ty-1-pr31319048,Hồ Chí Minh,Quận Tân Phú
"Chính chủ bán mảnh đất mặt ngõ 38 Tư Đình, Long Biên, DT 76m2, đường 4m ô tô 7 chỗ ,cách AONE 500m","- Chủ bán mảnh đất ngõ 38 Tư Đình, Long Biên, đường 4m ô tô vào đất, ngõ thông tứ tung.+ Diện tích: 76m2. Mặt tiền và hậu: 4,06m. Đường trước nhà 4m ô tô vào đất, hướng Tây Bắc.+ Lô đất thuộc ngõ 38 Tư Đình, giao thông đi lại thuận tiện. Hàng xóm xung quanh toàn cán bộ Quân Đội nên an ninh cực kỳ tốt.- Cách TTTM Aeon Long Biên và cầu Vĩnh Tuy sang trung tâm Hà Nội chỉ vài phút đi xe.- Chuẩn bị khởi công cầu Trần Hưng Đạo (đi sang phố cổ mất vài phút).+ Giá bán: 5,3 tỷ - SĐCC, mua bán có thương lượng, ra lộc.Liên hệ xem đất: 0942.598.898.",5300.0,76.0,Bán đất,"Ngõ 38, Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",4.06,4.0,,4,3,3,,Sổ đỏ.,,,,06/11/2021,13/11/2021,30957020,3 PN,Tây-Bắc,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-tu-dinh-phuong-long-bien/chu-ban-manh-mat-ngo-38-dt-76m2-4m-o-to-vao-ngo-thong-ng-pr30957020,Hà Nội,Quận Long Biên
Cần bán 2 dãy nhà trọ 9x24m chính chủ gần khu Him Lam. Chính chủ 0934100633,"Cần bán 2 dãy nhà trọ 9x24m chính chủ.Đặc điểm:- Mặt tiền chính 9m.- Gần các tuyến đường lớn, Phạm Văn Đồng, QL1A...- Gần chợ Thủ Đức, chợ bình đường, chợ đầu mối...- Gần bệnh viện Thủ Đức, bệnh viện Hoà Hảo...- Gần khu vui chơi, cung văn hoá...- Gần các khu mua sắm.Thiện chí mua bán.Thân ái.",15120.0,216.0,Bán nhà riêng,"12/1/6 Ấp bình đường 3, Phường An Bình, Dĩ An, Bình Dương",9.0,8.0,,-1,-1,-1,,Sổ đỏ/ Sổ hồng.,,,,06/11/2021,16/11/2021,31314254,,Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-phuong-an-binh/ban-2-day-nha-tro-9x24-chinh-chu-gan-khu-him-lam-pr31314254,Bình Dương,Thành phố Dĩ An
"Bán đất nền Saigon Mystery Villas Quận 2, lô liên kế 17 tỷ (100m2), lô biệt thự giá 160 triệu/m2","Dự án Saigon Mystery Villas nằm trong khu Compound của Tập Đoàn Hưng Thịnh làm Chủ Đầu Tư và phát triển dự án.Vị trí: Đường Bát Nàn, Phường Bình Trưng Tây, Quận 2, TP. HCM.Loại hình: Nhà phố liên kế và biệt thự.Ngân hàng BIDV chi nhánh Bắc Sài Gòn hỗ trợ.Giá trung bình: 160 triệu/m2.Giá sang nhượng: (giá bán đã bao gồm giá ép cọc).Nền liên kế:- 5 x 20 (100m2) giá 17 tỷ.- 7 x20 (140m2) giá 160 triệu/m2.- 9 x 20 (180m2) giá 160 triệu/m2.Quy cách xây: 1 hầm, 1 trệt, 2 lầu, 1 sân thượng, mái.Nền biệt thự:- 14 x 20 (280m2) giá 160 triệu/m2.- 19 x 20 (380m2) giá 165 triệu/m2 Lô Góc.Quy cách xây: 1 hầm, 1 trệt, 2 lầu, 1 sân thượng, mái.Tiện ích:- Khu Vực an ninh tuyệt đối.- Thừa hưởng mặt tiền sông nên khong khí trong lành mát mẻ.- Được quy hoạch đồng bộ đường, điện, thiết kế cảnh quan, sân tennis, hồ bơi.- Cạnh UBND quận 2, trường THCS, THPT, Mầm non...Quý khách cần thêm thông tin chi tiết vui lòng liên hệ.Phòng Kinh Doanh: 0903055887 (Duy Phú).",17000.0,100.0,Bán đất nền dự án (đất trong dự án quy hoạch),"Dự án Saigon Mystery Villas, Đường Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",5.0,12.0,,-1,-1,-1,,Đã có sổ đỏ,Saigon Mystery Villas,Công ty CP Tập đoàn Hưng Thịnh,Gồm các căn hộ cao cấp và nhà phố biệt thự,06/11/2021,13/11/2021,31036446,,Đông-Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-nen-du-an-duong-bat-nan-phuong-binh-trung-tay-prj-saigon-mystery-villas/ban-quan-2-lo-lien-ke-17-ty-100m2-lo-biet-thu-gia-160-trieu-m2-pr31036446,Hồ Chí Minh,Quận 1
"Chính chủ bán nhà xây mới ngõ 108 phố Đông Thiên, 37,6m2*5T, ngõ thông rộng, giá chỉ 2,6 tỷ","Chính chủ cần bán nhà ngõ 108 phố Đông Thiên, nhà gần trường cấp 1, 2 Vĩnh Hưng. Ngõ thông thoáng.+ DT: 37,6m2, MT 4m; xây mới tinh 5 tầng. Thiết kế kiến trúc kiểu mới, hiện đại. Khung cột bê tông chịu lực, móng bè kiên cố. Nhà hai mặt thoáng, nên đầy đủ nắng và gió tự nhiên.Chi tiết:- Tầng 1: Phòng khách + Khu bếp ăn + vệ sinh.- Tầng 2: Một phòng ngủ + Vệ sinh vip.- Tầng 3, 4: Thiết kế 02 phòng ngủ + 02 vệ sinh.- Tầng 5: Phòng thờ riêng biệt và khu vực phơi đồ rộng thoáng.Nội thất hoàn thiện cao cấp: Cửa cuốn Austdoor bên ngoài, bên trong nhôm hệ Xingfa cao cấp. Tủ bếp, cầu thang bằng gỗ tự nhiên. Sàn gỗ Alsa nhập ngoại, điện Trần Phú - Phương Liệt, ống nhựa Tiền Phong...+ Pháp lý: Sổ đỏ chính chủ, riêng biệt, giấy phép xây dựng đầy đủ.- Vị trí: Nhà ở gần trường cấp 1 Vĩnh Hưng, cách mặt đường Lĩnh Nam 100m...- Giá bán: 2,6 tỷ (bên bán chịu mọi chi phí giấy tờ công chứng và sang tên sổ đỏ, giảm giá cho người mua ở thực sự). Hỗ trợ vay vốn ngân hàng lãi suất thấp nhất.- Liên hệ ngay Mr Cương 0879705563 để được giới thiệu nhà đúng nhu cầu, tiết kiệm thời gian, thông tin mua nhà nhanh giá tốt.",2600.0,37.6,Bán nhà riêng,"Ngõ 108, Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",4.0,,,5,3,4,,Sổ đỏ/ Sổ hồng.,,,,06/11/2021,13/11/2021,31319046,3 PN,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-rieng-duong-dong-thien-phuong-vinh-hung-2/chinh-chu-ban-xay-moi-ngo-108-pho-37-6m-5t-ngo-thong-rong-gia-chi-2-6-ty-pr31319046,Hà Nội,Quận Hoàn Kiếm
Nhà mặt đường Hàng Kênh - Lê Chân - Hải Phòng,"Nhà mặt đường Hàng Kênh.- DTMB: 54m2, ngang 4,3m. Vỉa hè rộng 4m, thế đất vuông vắn, đang có hợp đồng cho thuê 3 năm.- Vị trí siêu đẹp. Mặt đường sầm uất, kinh doanh hay cho thuê cực hợp lý.- Giá 8,1 tỷ (TT nhẹ).Quý khách có nhu cầu xem nhà hoặc cần tư vấn xin liên hệ em Hoàng 0978.38.1619 (có Zalo).Công ty BĐS Diễm Châu Land - Số 207 Hàng Kênh, Lê Chân, HP.Truy cập website: DiemChauLand.Com hoặc kết bạn Zalo để tham khảo thêm rất nhiều nhà đất cần bán.Rất hân hạnh được phục vụ quý khách, xin cảm ơn!",8100.0,54.0,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),"Đường Hàng Kênh, Lê Chân, Hải Phòng",,,,-1,-1,-1,,Sổ đỏ/ Sổ hồng,,,,06/11/2021,13/11/2021,31226161,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-mat-pho-duong-hang-kenh-35/-le-chan-hai-phong-pr31226161,Hải Phòng,Quận Lê Chân
"Bán gấp biệt thự Cổ Nhuế - Nam Cường, 3.5 tầng, giá 117tr/m2, có thương lượng","Cần bán căn biệt thự xây thô tại khu Nam Cường thuộc phường Cổ Nhuế 1, Bắc Từ Liêm - Hà Nội.Căn biệt thự xây thô 3.5 tầng đồng bộ của chủ đầu tư, diện tích đất 255m2.Hướng Đông Nam mát mẻ.Hiện tại, gia đình đang để nguyên trạng từ lúc nhận, khách ưng cải tạo, sửa chữa tùy ý.Giá bán 117tr/m2, có thương lượng nhiệt tình với người mua.Sổ hồng chính chủ, nên mua bán nhanh gọn.Liên hệ: Phương Thảo - 0964754393.",26325.0,225.0,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)","Dự án KĐT Cổ Nhuế, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",10.0,10.0,Đông-Nam,4,4,6,,Sổ hồng chính chủ,Khu đô thị mới Cổ Nhuế,Công ty CP Tập đoàn Nam Cường Hà Nội,"Gồm khối văn phòng cho thuê và 3 tòa chung cư CT1, CT2, CT3",06/11/2021,13/11/2021,30557861,4 PN,Đông-Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-biet-thu-lien-ke-duong-pham-van-dong-phuong-co-nhue-1-prj-khu-do-thi-moi-co-nhue/ban-gap-nam-cuong-3-5-tang-gia-117tr-m2-ong-luong-pr30557861,Hà Nội,Quận Bắc Từ Liêm
"Bán đất Hà Đông 3 tại quận Thanh Khê, Đà Nẵng: 0935 292 191","Cảm ơn quý khách đã quan tâm lô đất đường Hà Đông 3.Cần bán lô đất đường Hà Đông 3, Thanh Khê, Đà Nẵng.Đường 5,5m.Diện tích: 97m2.Giá: 54 tr/m2.Vị trí - Trung tâm thành phố Đà Nẵng.- Đường Trần Cao Văn.- Đường Hà Huy Tập.Buôn bán rất thuận lợi.Rất phù hợp để mua ở, đầu tư, tích trữ tài sản.Hotline: 0935 292 191.- Tư vấn 24/7: Mr Thạch.- Cảm ơn khách hàng đã xem và đọc tin.",5238.0,97.0,Bán đất,"Đường Hà Đông 3, Phường Thanh Khê Đông, Thanh Khê, Đà Nẵng",5.0,5.5,,-1,-1,-1,,,,,,06/11/2021,13/11/2021,30931085,,Tây,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-ha-dong-3-phuong-thanh-khe-dong/ban-3-tai-quan-tnh-da-nang-0935-292-191-pr30931085,Đà Nẵng,Quận Thanh Khê
"Chính chủ bán nhà MP Quảng An - DT 170m2, mặt tiền 10m, view trực diện Hồ Tây, LH 0942598898","- Bán nhà 170m2, mặt tiền 10m, mặt phố Quảng Khánh, Tây Hồ - View trọn Hồ Tây - LH: Em Hoàng 0942.598.898.- Vị trí mặt phố Quảng Khánh rất đẹp, view trực diện Hồ Tây, là địa điểm lý tưởng để kinh doanh nhà hàng, khách sạn, hay đẳng cấp hơn là xây biệt thự nghỉ dưỡng cho gia đình.- Nhà 3 tầng, diện tích 170m2, mặt tiền 10m, khuôn đất nở hậu, vượng khí, chủ nhà hiền lành, tốt tính, con cái thành đạt.- Sổ đỏ chính chủ, giá chào 115 tỷ (có thương lượng).- Liên hệ: 0942.598.898 để xem nhà.(Miễn trung gian, quảng cáo).",115000.0,170.0,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",10.0,,,3,-1,-1,,Sổ đỏ chính chủ.,,,,06/11/2021,13/11/2021,31199384,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-mat-pho-pho-quang-khanh-phuong-quang-an-2/-chinh-chu-b-mp-dt-170m2-tien-10m-vew-truc-dien-ho-tay-lh-0942598898-pr31199384,Hà Nội,Quận Tây Hồ
"Thông tin cập nhất mới nhất T10, liền kề, biệt thự vị trí đẹp, tính thanh khoản tốt, giá cực tốt","+ Trân trọng gửi tới quý khách hàng quỹ căn đẹp của dự án, cập nhật giá tháng 10 mới nhất, thông tin dự án mới nhất, thực tế nhất.+ Đón sóng Gia Lâm lên quận, UBND TP Hà Nội đẩy mạnh cơ sở hạ tầng với quyết định xây thêm cầu Mễ Sở, Vĩnh Tuy GĐ 2, Trần Hưng Đạo, Ngọc Hồi...+ Hưởng lợi tiềm năng tăng giá từ những dự án lớn xung quanh đã hiện hữu: KĐT Vinhomes Ocean Parks, KĐT Vinhomes Riverside, Vinpearl Land Gia Lâm chuẩn bị khởi công, KĐT Eco Park...Hotline tư vấn chi tiết thông tin mới nhất:0911 999 568 (Em Tâm An - Phòng Kinh doanh).09345 26 396 (Em Duy - Phòng kinh doanh).-----------------------------------------------Thông tin quỹ căn như sau.* Liền kề:I. LK8 - 25.- DT: 75m2.- Hướng: ĐN, nằm trên trục chính kinh doanh dự án.- View trực diện công viên, cây xanh, và hồ bơi.- Giá 7,2 tỷ (xây 5 tầng - hoàn thiện mặt ngoài).Trục căn đông nam kinh doanh sầm uất này đang được giao dịch tốt nhất/.II. LK5 - 06.- DT: 85m2.- Hướng Tây Nam.- Căn đầu hồi cạnh căn góc gần 2 trục đường chính của dự án.- Giá: 7 tỷ 9 (xây 5 tầng - hoàn thiện mặt ngoài).* Biệt thự.II. LK9 - 19.- DT: 75m2.- Hương: Tây Bắc.- View công viên, biệt thự.Nằm trên trục chính kinh doanh dự án.Giá: 6,8 tỷ (xây 5 tầng).* Biệt thự:I. BTB - 10.- Diện tích: 192m2.- Hướng: Đông Bắc.- Căn sát góc view thẳng công viên cây xanh và hồ bơi.- Giá: 17,4 tỷ (xây 3 tầng - hoàn thiện mặt ngoài).- Gần trung tâm thương mại, bãi đỗ xe.II. BTC - 32.- Diện tích: 192m2.- Hướng: Đông Bắc.- Giá: 17 tỷ (xây 3 tầng - hoàn thiện mặt ngoài).- Gần giai đoạn 2 của dự án.==========================================Tiện ích ngoại khu đa dạng:+ Hệ thống công viên, hồ điều hòa bao quanh dự án rộng 29 ha.+ Trung tâm mua sắm Vincom Megamall, đại học VinUni, đại học Nông Nghiệp.+ Bệnh viện đa khoa Gia Lâm, bệnh viện Vinmec.+ Đại đô thị Vinhomes Ocean Park với đầy đủ các tiện ích ngay bên cạnh.==========================================Hotline tư vấn chi tiết thông tin mới nhất:0911 999 568 (Em Tâm An - Phòng Kinh doanh).09345 26 396 (Em Duy - Phòng kinh doanh).",7900.0,85.0,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)","Dự án Eurowindow Twin Parks, Đường Thành Trung, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",,,,5,-1,-1,,,Eurowindow Twin Parks,Công ty CP Eurowindow Holding,"371 căn biệt thự, liền kề",06/11/2021,13/11/2021,30884719,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-biet-thu-lien-ke-duong-thanh-trung-thi-tran-trau-quy-prj-eurowindow-twin-parks/thong-tin-cap-nhat-moi-nhat-t9-vi-tri-dep-tinh-khoan-tot-gia-cuc-tot-pr30884719,Hà Nội,Huyện Gia Lâm
Bán căn hộ CT1 Phước Hải có sẵn nội thất giá chỉ 1 tỷ 750 triệu. Lh: 0933.567.039 Thuỳ,"Chuyển công tác nên cần bán gấp căn CT1 Phước Hải giá rẻ.- Căn góc 16. View đẹp, thoáng.- Dt 66,7m2 (2 phòng ngủ, phòng khách, bếp... ).- Ban công Đông Nam. Cửa chính Tây Bắc.- Để lại toàn bộ nội thất như hình.- Giá 1 tỷ 750 triệu.Lh: 0933.567.039 Thuỳ để xem căn hộ.",1750.0,66.7,Bán căn hộ chung cư,"Dự án VCN Phước Hải, Phường Phước Hải, Nha Trang, Khánh Hòa",,,Đông-Nam,-1,2,-1,Nội thất đầy đủ,Sổ đỏ/ Sổ hồng,Khu đô thị VCN Phước Hải,Công ty CP đầu tư VCN,"Gồm nhà ở biệt thự, nhà liên kế, căn hộ chung cư",06/11/2021,16/11/2021,31319040,2 PN,Tây-Bắc,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-can-ho-chung-cu-phuong-phuoc-hai-prj-khu-do-thi-vcn-phuoc-hai/ban-ct1-ph-co-san-noi-that-gia-chi-1-ty-750-trieu-lh-0933-567-039-thuy-pr31319040,Khánh Hòa,Thành phố Nha Trang (tỉnh lỵ)
"Bán nhà phố Thiên Hiền lô góc, vỉa hè, ô tô, KD 80m2 MT 9m, 15 tỷ ĐT 0973584969","Bán gấp nhà mặt phố Thiên Hiền, quận Nam Từ Liêm. Vị trí vô cùng tiện, nhà lô góc, 2 mặt đường đều ô tô tránh dừng đỗ thoải mái.Vài bước ra Phạm Hùng, Vành Đai 3, Mỹ Đình... Khu vực kinh doanh tuyệt đỉnh, phù hợp làm dịch vụ giải trí, lưu trú, văn phòng như Kinh doanh cafe, nhà hàng Restaurant, khách sạn, Apartmen...+ Lô góc 80 m2 x MT 9x9m, phù hợp tòa nhà 10 tầng thang máy cho thuê, kinh doanh đỉnh cao.+ Sổ đỏ chính chủ vuông đẹp, pháp lý sạch. Giá 15 tỷ (có thương lượng).Liên hệ tôi, Triều: 0832133666 / 0973584969 để xem nhà chính chủ (Miễn trung gian, môi giới).",15000.0,80.0,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),"Đường Thiên Hiền, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",,,,3,-1,-1,,Sổ đỏ chính chủ,,,,06/11/2021,14/11/2021,30795479,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-mat-pho-duong-thien-hien-phuong-my-dinh-1/ban-cau-giay-lo-goc-via-he-o-to-kd-80m2-mt9m-15-ty-dt-0973584969-pr30795479,Hà Nội,Quận Bắc Từ Liêm
"Cần bán căn hộ 2PN, 78m2 ở tòa Sapphire chung cư Goldmark City. Full nội thất, giá bán 2.55 tỷ","Cần bán CH 2 phòng ngủ, 78m2 tại tòa Sapphire tại chung cư cao cấp Goldmark City - 136 Hồ Tùng Mậu.Căn hộ thiết kế đẹp, bố trí phòng khách, bếp, 2 phòng ngủ, 2 phòng tắm và logia phơi đồ.Căn hộ có hướng Tây Nam - Đông Bắc phù hợp với chủ nhà Tây tứ trạch.Nội thất căn hộ gia đình tự làm, trước đây có sử dụng nhưng ít.Hiện tại căn hộ đang được để không và gia đình thiện chí bán sớm.Giá bán 2.55 tỷ, có thương lượng thêm.Liên hệ xem nhà: 0964754393.",2550.0,78.0,Bán căn hộ chung cư,"Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",,,Đông-Bắc,-1,2,2,Nội thất đầy đủ,Sổ hông chính chủ,Goldmark City,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,,06/11/2021,13/11/2021,28774693,2 PN,Tây-Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/-ban-2-ngu-78m2-o-toa-sapphire-full-noi-that-gia-ban-2-55-ti-pr28774693,Hà Nội,Quận Bắc Từ Liêm
Cần bán nền đất hướng Nam ngay cạnh hồ Quế Sơn. Đã có sổ,"Cần bán nền đất đã có sổ đỏ đối diện hồ trung tâm Quế Sơn.- Diện tích: 132m2.- Mặt tiền: 6m.- Ngang: 22m.Hướng: Nam mát mẻ.Cách đường Hùng Vương 50m.Trung tâm thị trấn Đông Phú, thuận tiện di chuyển tới các địa phương.Đầy đủ tiện ích, chợ, công viên, ngân hàng, y tế,...",1080.0,132.0,Bán đất,"Đường ĐT 611, Thị trấn Đông Phú, Quế Sơn, Quảng Nam",6.0,13.5,,-1,-1,-1,,Sổ đỏ/ Sổ hồng,,,,06/11/2021,13/11/2021,31319038,,Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-dt-611-thi-tran-dong-phu/can-ban-nen-huong-nam-ngay-canh-ho-que-son-da-co-so-pr31319038,Quảng Nam,Huyện Quế Sơn
"Cần tiền bán gấp căn 2PN view nội khu Q7 Saigon Riverside căn giá 2,340 tỷ",Khách gửi bán căn hộ Q7 Saigon Riverside.Căn 2PN view nội khuS1 - 07 tầng thấp 2.340 tỷ.- Căn 1PN (view Phú Mỹ Hưng - ban công hướng Tây).S2 - 15 tầng trung giá 1.970 tỷ.S1 - 12 tầng thấp giá 2 tỷ.U2 - 14 tầng cao giá 2.050 tỷ.- Căn 1PN (view hồ bơi).U1 - 12 tầng thấp giá 2 tỷ.U1 - 13 tầng cao giá 1.970 tỷ.- Căn 2PN (nội khu).M1 - 04 tầng thấp giá 2.450 tỷ.U1 - 09 tầng cao giá 2.470 tỷ.- Căn 2PN (view ngoài).M1 - 09 tầng cao giá 2.5 tỷ.S2 - 08 tầng trung giá 2.450 tỷ.- Căn góc 2PN.U1 - 04 tầng cao giá 2.650 tỷ.- Căn góc 3PN.M1 - 02 giá 3.850 tỷ.Thanh toán 78 - 82.5%.Hỗ trợ khách vay ngân hàng BIDV & TPBank.Pháp lý: Cấp sổ hồng.Tặng phí quản lý năm đầu.Giao nhà hoàn thiện cao cấp.,,66.0,Bán căn hộ chung cư,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,,Nam,-1,2,2,Giao nhà hoàn thiện,Hợp đồng mua bán Cấp sổ hồng.,Q7 Saigon Riverside,Công ty CP Tập đoàn Hưng Thịnh,4 tòa cao 34 tầng gồm 3580 căn hộ,06/11/2021,13/11/2021,31051532,2 PN,Bắc,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/-tien-ban-gap-2pn-view-ngoai-khu-gia-2-470-ty-bao-gom-thue-phi-pr31051532,Hồ Chí Minh,Quận 1
"Bán nhà phố Nguyễn Chí Thanh, Đống Đa, ô tô, kinh doanh, 5 tầng 65m2, giá 11. x tỷ (x nhỏ)","Chính chủ nhờ bán nhanh nhà phố Nguyễn Chí Thanh: Giáp Liễu Giai, gần Đê La Thành, đi sang phố Huỳnh Thúc Kháng, Thái Hà, Kim Mã, Ô Chợ Dừa sầm uất cũng rất tiện.Nhà 5 tầng, 65m2, mặt tiền 7m.Mặt tiền lớn - kinh doanh Khách sạn, Văn Phòng.. Vv, hay cho thuê dòng tiền cũng rất tốt.+ Sổ đẹp chính chủ giao dịch 24/7.+ Giá: 11. X tỷ (X nhỏ, có Thương lượng).LH: Mr. Cương: 0818345913 (MTG).Chuyên dự án và nhà mặt phố HÀ NỘI tài chính từ 10 tỷ đến 5000 tỷ Kho hàng có 10.000 căn.",11200.0,65.0,Bán nhà riêng,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội",7.0,5.0,,5,7,8,Full.,Sổ đỏ/ Sổ hồng,,,,06/11/2021,16/11/2021,31317226,7 PN,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-rieng-duong-nguyen-chi-thanh-phuong-lang-ha/ban-pho-dong-da-o-to-kinh-doanh-5-tang-65m-gia-11-x-ty-x-nho-pr31317226,Hà Nội,Quận Đống Đa
"Bán nhà mặt phố Huế HBT Hà Nội DT 99m2 x 3T kinh doanh sầm uất vỉa hè rộng giá 34,5 tỷ","Nhu cầu chuyển đổi gia đình cần bán lại căn nhà mặt phố Huế Hai Bà Trưng diện tích 99m2x3 tầng, vị trí cực đẹp.Căn nhà tọa lạc tại vị trí đắc địa, kinh doanh cực sầm uất, gần nhiều công ty, văn phòng, dân trí cao,- Không gian thoáng đãng, đường lớn. Vỉa hè rộng 6m để xe thoải mái.Vị trí siêu đẹp, tuyến phố sầm uất, rất phù hợp với mọi loại hình kinh doanh, đặc biệt là nhà hàng, ngân hàng, showroom lớn, siêu thị, thời trang, mỹ phẩm, cafe, trà sữa, văn phòng, spa, salon tóc.Sổ đỏ chính chủ, giá 34,5 tỷ (có thương lượng)liên hệ Chị Yến ĐT: 0702138238.",34500.0,99.0,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),"Phố Phố Huế, Phường Phố Huế, Hai Bà Trưng, Hà Nội",3.65,30.0,,3,4,3,Cơ Bản,,,,,06/11/2021,13/11/2021,31319036,4 PN,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-mat-pho-pho-pho-hue-phuong-pho-hue/ban-hbt-ha-noi-dt-99m2x3t-kinh-doanh-sam-uat-via-he-rong-gia-34-5-ty-pr31319036,Hà Nội,Quận Hai Bà Trưng
"Cần bán nhà 1 trệt 2 lầu hẻm 2 xe máy tránh nhau, đường Trương Công Định, P3, Tp Vũng Tàu","Cần bán nhà 1 trệt 2 lầu hẻm 2 xe máy tránh nhau, đường Trương Công Định, P3, Tp Vũng Tàu vị trí cách đường 50m, nhà gần trường Đại học Vũng tàu gần biển, chợ, Gần UBND phường 3 - khu vực an ninh, có mở được tiệm uốn tóc, làm móng.Có dt 23 m2.Có đủ công năng để một gia đình nhỏ.Giá bán 2 tỷ 100tr thương lượng.Quý khách có nhu cầu xin liên hệ 0903901409 + 0908275552.Vp nhà đất - Lannguyen - 78 B7 Trương Công Định P3 Tp Vũng Tàu.",2100.0,23.0,Bán nhà riêng,"Đường Trương Công Định, Phường 3, Vũng Tàu, Bà Rịa Vũng Tàu",4.0,2.0,Tây-Nam,2,2,2,Không nội thất.,Sổ đỏ/ Sổ hồng,,,,06/11/2021,13/11/2021,31316104,2 PN,Tây-Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-rieng-duong-truong-cong-dinh-phuong-3-23/can-ban-1-tret-2-lau-hem-2-xe-may-tranh-u-p3-tp-vung-tau-pr31316104,Bà Rịa-Vũng Tàu,Thành phố Vũng Tàu
